rank,title,artist,album,genre,streams,source,fetched_at,score,key
48,I'M DAT N***A,Future,,Hip-Hop/Rap,0,apple_music,2026-07-03,6.0,i'm dat n***a — future
49,Frozen,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-03,4.0,frozen — lil baby
50,I Got Better,Morgan Wallen,,Country,0,apple_music,2026-07-03,2.0,i got better — morgan wallen
1,hate that i made you love me,Ariana Grande,,,4245268,spotify_global,2026-07-03,100.0,hate that i made you love me — ariana grande
2,Dai Dai (w/ Burna Boy ),Shakira,,,4233384,spotify_global,2026-07-03,98.0,dai dai (w/ burna boy ) — shakira
3,stupid song,Olivia Rodrigo,,,4112332,spotify_global,2026-07-03,96.0,stupid song — olivia rodrigo
4,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,4089326,spotify_global,2026-07-03,94.0,beauty and a beat (w/ nicki minaj ) — justin bieber
5,Billie Jean,Michael Jackson,,,4003284,spotify_global,2026-07-03,92.0,billie jean — michael jackson
6,SWIM,BTS,,,3944554,spotify_global,2026-07-03,90.0,swim — bts
7,Earrings,Malcolm Todd,,,3822698,spotify_global,2026-07-03,88.0,earrings — malcolm todd
8,Babydoll,Dominic Fike,,,3715803,spotify_global,2026-07-03,86.0,babydoll — dominic fike
9,drop dead,Olivia Rodrigo,,,3364531,spotify_global,2026-07-03,84.0,drop dead — olivia rodrigo
10,the cure,Olivia Rodrigo,,,3302475,spotify_global,2026-07-03,82.0,the cure — olivia rodrigo
11,The One That Got Away,Katy Perry,,,3302334,spotify_global,2026-07-03,80.0,the one that got away — katy perry
12,Self Aware,Temper City,,,3151620,spotify_global,2026-07-03,78.0,self aware — temper city
13,honeybee,Olivia Rodrigo,,,3088923,spotify_global,2026-07-03,76.0,honeybee — olivia rodrigo
14,back to friends,sombr,,,3011754,spotify_global,2026-07-03,74.0,back to friends — sombr
15,Beat It,Michael Jackson,,,2965656,spotify_global,2026-07-03,72.0,beat it — michael jackson
16,Choosin' Texas,Ella Langley,,,2668370,spotify_global,2026-07-03,70.0,choosin' texas — ella langley
17,Risk It All,Bruno Mars,,,2626353,spotify_global,2026-07-03,68.0,risk it all — bruno mars
18,End of Beginning,Djo,,,2574048,spotify_global,2026-07-03,66.0,end of beginning — djo
19,Iris,The Goo Goo Dolls,,,2507192,spotify_global,2026-07-03,64.0,iris — the goo goo dolls
20,DtMF,Bad Bunny,,,2501317,spotify_global,2026-07-03,62.0,dtmf — bad bunny
