rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-08-07,100.0,choosin' texas — ella langley
2,Been By Now,Morgan Wallen,,Country,0,apple_music,2026-08-07,98.0,been by now — morgan wallen
3,Dead Fresh,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-07,96.0,dead fresh — lil baby
4,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-07,94.0,janice stfu — drake
5,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-08-07,92.0,hate that i made you love me — ariana grande
6,petal,Ariana Grande,,Pop,0,apple_music,2026-08-07,90.0,petal — ariana grande
7,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-08-07,88.0,i can't love you anymore — ella langley & morgan wallen
8,Be Her,Ella Langley,,Country,0,apple_music,2026-08-07,86.0,be her — ella langley
9,AH HA,Cardi B,,Hip-Hop/Rap,0,apple_music,2026-08-07,84.0,ah ha — cardi b
10,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-08-07,82.0,stupid song — olivia rodrigo
11,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-07,80.0,shabang — drake
12,stay,Ariana Grande,,Pop,0,apple_music,2026-08-07,78.0,stay — ariana grande
13,Don't We,Morgan Wallen,,Country,0,apple_music,2026-08-07,76.0,don't we — morgan wallen
14,oh well,Ariana Grande,,Pop,0,apple_music,2026-08-07,74.0,oh well — ariana grande
15,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-08-07,72.0,i'm the problem — morgan wallen
16,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-07,70.0,freestyle — lil baby
17,like i do,Ariana Grande,,Pop,0,apple_music,2026-08-07,68.0,like i do — ariana grande
18,Boston,STELLA LEFTY,,Country,0,apple_music,2026-08-07,66.0,boston — stella lefty
19,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-07,64.0,in a minute — lil baby
20,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-08-07,62.0,wait for u (feat. drake & tems) — future
21,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-08-07,60.0,spend dat — yung miami
22,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-08-07,57.99999999999999,man i need — olivia dean
23,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-08-07,56.00000000000001,like me (feat. 42 dugg & lil baby) — future
24,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-08-07,54.0,the cure — olivia rodrigo
25,Loser,Tame Impala,,Alternative,0,apple_music,2026-08-07,52.0,loser — tame impala
26,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-08-07,50.0,just in case — morgan wallen
27,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-08-07,48.0,"ran to atlanta — drake, future & molly santana"
28,kiss me,Ariana Grande,,Pop,0,apple_music,2026-08-07,46.0,kiss me — ariana grande
29,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-08-07,44.0,cinderella (feat. ty dolla $ign) — mac miller
30,Last Night,Morgan Wallen,,Country,0,apple_music,2026-08-07,42.0,last night — morgan wallen
31,Nightmares To Dreams,Meek Mill,,Hip-Hop/Rap,0,apple_music,2026-08-07,40.0,nightmares to dreams — meek mill
32,big feelings,Ariana Grande,,Pop,0,apple_music,2026-08-07,38.0,big feelings — ariana grande
33,Hustle,Rod Wave,,Music,0,apple_music,2026-08-07,36.0,hustle — rod wave
34,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-08-07,34.0,i had some help (feat. morgan wallen) — post malone
35,Ghetto Love Story,BabyChiefDoit,,Hip-Hop/Rap,0,apple_music,2026-08-07,32.0,ghetto love story — babychiefdoit
36,March Madness,Future,,Hip-Hop/Rap,0,apple_music,2026-08-07,30.0,march madness — future
37,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-08-07,28.000000000000004,what i want — morgan wallen & tate mcrae
38,I'M DAT N***A,Future,,Hip-Hop/Rap,0,apple_music,2026-08-07,26.0,i'm dat n***a — future
39,never get over me,Ariana Grande,,Pop,0,apple_music,2026-08-07,24.0,never get over me — ariana grande
40,Best I Ever Had,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-07,22.0,best i ever had — drake
41,oh yeah?,Steve Lacy,,Pop,0,apple_music,2026-08-07,20.0,oh yeah? — steve lacy
42,Cowgirls (feat. ERNEST),Morgan Wallen,,Country,0,apple_music,2026-08-07,18.0,cowgirls (feat. ernest) — morgan wallen
43,Thinkin’ Bout Me,Morgan Wallen,,Country,0,apple_music,2026-08-07,16.0,thinkin’ bout me — morgan wallen
44,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-08-07,14.000000000000002,i’m spent — drake & loe shimmy
45,weren't for the wind,Ella Langley,,Country,0,apple_music,2026-08-07,12.0,weren't for the wind — ella langley
46,Stick Talk,Future,,Music,0,apple_music,2026-08-07,10.0,stick talk — future
47,Frozen,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-07,8.0,frozen — lil baby
48,freak,Ariana Grande,,Pop,0,apple_music,2026-08-07,6.0,freak — ariana grande
49,Wants and Needs (feat. Lil Baby),Drake,,Hip-Hop/Rap,0,apple_music,2026-08-07,4.0,wants and needs (feat. lil baby) — drake
50,Wasted On You,Morgan Wallen,,Country,0,apple_music,2026-08-07,2.0,wasted on you — morgan wallen
1,hate that i made you love me,Ariana Grande,,,4436383,spotify_global,2026-08-07,100.0,hate that i made you love me — ariana grande
2,Dai Dai (w/ Burna Boy ),Shakira,,,4399607,spotify_global,2026-08-07,98.0,dai dai (w/ burna boy ) — shakira
3,petal,Ariana Grande,,,4107541,spotify_global,2026-08-07,96.0,petal — ariana grande
4,Earrings,Malcolm Todd,,,3490390,spotify_global,2026-08-07,94.0,earrings — malcolm todd
5,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,3472844,spotify_global,2026-08-07,92.0,beauty and a beat (w/ nicki minaj ) — justin bieber
6,SWIM,BTS,,,3292928,spotify_global,2026-08-07,90.0,swim — bts
7,Babydoll,Dominic Fike,,,3115321,spotify_global,2026-08-07,88.0,babydoll — dominic fike
8,Billie Jean,Michael Jackson,,,3063575,spotify_global,2026-08-07,86.0,billie jean — michael jackson
9,Wonderwall - Remastered,Oasis,,,3058102,spotify_global,2026-08-07,84.0,wonderwall - remastered — oasis
10,The One That Got Away,Katy Perry,,,3025502,spotify_global,2026-08-07,82.0,the one that got away — katy perry
11,Self Aware,Temper City,,,3013915,spotify_global,2026-08-07,80.0,self aware — temper city
12,Animal,KATSEYE,,,2992097,spotify_global,2026-08-07,78.0,animal — katseye
13,back to friends,sombr,,,2925559,spotify_global,2026-08-07,76.0,back to friends — sombr
14,stupid song,Olivia Rodrigo,,,2776548,spotify_global,2026-08-07,74.0,stupid song — olivia rodrigo
15,Iris,The Goo Goo Dolls,,,2758002,spotify_global,2026-08-07,72.0,iris — the goo goo dolls
16,the cure,Olivia Rodrigo,,,2718797,spotify_global,2026-08-07,70.0,the cure — olivia rodrigo
17,Loser,Tame Impala,,,2681408,spotify_global,2026-08-07,68.0,loser — tame impala
18,End of Beginning,Djo,,,2594420,spotify_global,2026-08-07,66.0,end of beginning — djo
19,Choosin' Texas,Ella Langley,,,2456739,spotify_global,2026-08-07,64.0,choosin' texas — ella langley
20,drop dead,Olivia Rodrigo,,,2364988,spotify_global,2026-08-07,62.0,drop dead — olivia rodrigo
21,Man I Need,Olivia Dean,,,2342579,spotify_global,2026-08-07,60.0,man i need — olivia dean
22,Treat You Better,Shawn Mendes,,,2342091,spotify_global,2026-08-07,57.99999999999999,treat you better — shawn mendes
23,Love Me Not,Ravyn Lenae,,,2340030,spotify_global,2026-08-07,56.00000000000001,love me not — ravyn lenae
24,Die With A Smile (w/ Bruno Mars ),Lady Gaga,,,2314482,spotify_global,2026-08-07,54.0,die with a smile (w/ bruno mars ) — lady gaga
25,Sweater Weather,The Neighbourhood,,,2312039,spotify_global,2026-08-07,52.0,sweater weather — the neighbourhood
26,Beat It,Michael Jackson,,,2291958,spotify_global,2026-08-07,50.0,beat it — michael jackson
27,DtMF,Bad Bunny,,,2227401,spotify_global,2026-08-07,48.0,dtmf — bad bunny
28,The Fate of Ophelia,Taylor Swift,,,2224637,spotify_global,2026-08-07,46.0,the fate of ophelia — taylor swift
29,Jamaican (Bam Bam) (w/ SOLTO (FR) ),HUGEL,,,2200639,spotify_global,2026-08-07,44.0,jamaican (bam bam) (w/ solto (fr) ) — hugel
30,Ordinary,Alex Warren,,,2176542,spotify_global,2026-08-07,42.0,ordinary — alex warren
