rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Dead Fresh,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-24,100.0,dead fresh — lil baby
2,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-07-24,98.0,choosin' texas — ella langley
3,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-24,96.0,janice stfu — drake
4,Be Her,Ella Langley,,Country,0,apple_music,2026-07-24,94.0,be her — ella langley
5,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-07-24,92.0,i can't love you anymore — ella langley & morgan wallen
6,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-24,90.0,shabang — drake
7,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-07-24,88.0,spend dat — yung miami
8,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-07-24,86.0,20 cigarettes — morgan wallen
9,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-07-24,84.0,stupid song — olivia rodrigo
10,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-07-24,82.0,"ran to atlanta — drake, future & molly santana"
11,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-07-24,80.0,i'm the problem — morgan wallen
12,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-07-24,78.0,hate that i made you love me — ariana grande
13,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-07-24,76.0,the cure — olivia rodrigo
14,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-07-24,74.0,cinderella (feat. ty dolla $ign) — mac miller
15,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-24,72.0,freestyle — lil baby
16,Ghetto Love Story,BabyChiefDoit,,Hip-Hop/Rap,0,apple_music,2026-07-24,70.0,ghetto love story — babychiefdoit
