rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-04-27,100.0,choosin' texas — ella langley
2,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-04-27,98.0,i can't love you anymore — ella langley & morgan wallen
3,Be Her,Ella Langley,,Country,0,apple_music,2026-04-27,96.0,be her — ella langley
4,Doors,Noah Kahan,,Alternative,0,apple_music,2026-04-27,94.0,doors — noah kahan
5,The Great Divide,Noah Kahan,,Alternative,0,apple_music,2026-04-27,92.0,the great divide — noah kahan
6,End of August,Noah Kahan,,Alternative,0,apple_music,2026-04-27,90.0,end of august — noah kahan
7,American Cars,Noah Kahan,,Alternative,0,apple_music,2026-04-27,88.0,american cars — noah kahan
8,DAISIES,Justin Bieber,,Pop,0,apple_music,2026-04-27,86.0,daisies — justin bieber
9,Porch Light,Noah Kahan,,Alternative,0,apple_music,2026-04-27,84.0,porch light — noah kahan
10,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-04-27,82.0,20 cigarettes — morgan wallen
11,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-04-27,80.0,drop dead — olivia rodrigo
12,Downfall,Noah Kahan,,Alternative,0,apple_music,2026-04-27,78.0,downfall — noah kahan
13,Dashboard,Noah Kahan,,Alternative,0,apple_music,2026-04-27,76.0,dashboard — noah kahan
14,Beauty and a Beat (feat. Nicki Minaj),Justin Bieber,,Pop,0,apple_music,2026-04-27,74.0,beauty and a beat (feat. nicki minaj) — justin bieber
15,YUKON,Justin Bieber,,Pop,0,apple_music,2026-04-27,72.0,yukon — justin bieber
16,Willing and Able,Noah Kahan,,Alternative,0,apple_music,2026-04-27,70.0,willing and able — noah kahan
17,Paid Time Off,Noah Kahan,,Alternative,0,apple_music,2026-04-27,68.0,paid time off — noah kahan
18,Be By You,Luke Combs,,Country,0,apple_music,2026-04-27,66.0,be by you — luke combs
19,Bottom Of Your Boots,Ella Langley,,Country,0,apple_music,2026-04-27,64.0,bottom of your boots — ella langley
20,Haircut,Noah Kahan,,Alternative,0,apple_music,2026-04-27,62.0,haircut — noah kahan
21,Folded,Kehlani,,R&B/Soul,0,apple_music,2026-04-27,60.0,folded — kehlani
22,Dandelion,Ella Langley,,Country,0,apple_music,2026-04-27,57.99999999999999,dandelion — ella langley
23,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-04-27,56.00000000000001,i'm the problem — morgan wallen
24,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-04-27,54.0,what i want — morgan wallen & tate mcrae
