rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,100.0,janice stfu — drake
2,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,98.0,stupid song — olivia rodrigo
3,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,96.0,shabang — drake
4,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-06-19,94.0,choosin' texas — ella langley
5,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,92.0,the cure — olivia rodrigo
6,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-06-19,90.0,"ran to atlanta — drake, future & molly santana"
7,Whisper My Name,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,88.0,whisper my name — drake
8,honeybee,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,86.0,honeybee — olivia rodrigo
9,Be Her,Ella Langley,,Country,0,apple_music,2026-06-19,84.0,be her — ella langley
10,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-06-19,82.0,spend dat — yung miami
11,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,80.0,drop dead — olivia rodrigo
12,National Treasures,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,78.0,national treasures — drake
13,maggots for brains,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,76.0,maggots for brains — olivia rodrigo
14,"I Knew It, I Knew You",Taylor Swift,,Country,0,apple_music,2026-06-19,74.0,"i knew it, i knew you — taylor swift"
15,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-06-19,72.0,cinderella (feat. ty dolla $ign) — mac miller
16,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-06-19,70.0,hate that i made you love me — ariana grande
17,begged,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,68.0,begged — olivia rodrigo
18,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-06-19,66.0,i can't love you anymore — ella langley & morgan wallen
19,what’s wrong with me,Olivia Rodrigo & Robert Smith,,Pop,0,apple_music,2026-06-19,64.0,what’s wrong with me — olivia rodrigo & robert smith
20,less,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,62.0,less — olivia rodrigo
21,u + me = <3,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,60.0,u + me = <3 — olivia rodrigo
22,expectations,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,57.99999999999999,expectations — olivia rodrigo
23,2 Hard 4 The Radio,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,56.00000000000001,2 hard 4 the radio — drake
24,B’s On The Table,Drake & 21 Savage,,Hip-Hop/Rap,0,apple_music,2026-06-19,54.0,b’s on the table — drake & 21 savage
25,Plot Twist,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,52.0,plot twist — drake
26,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-06-19,50.0,20 cigarettes — morgan wallen
27,my way,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,48.0,my way — olivia rodrigo
28,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-06-19,46.0,i’m spent — drake & loe shimmy
29,Make Them Pay,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,44.0,make them pay — drake
30,Burning Bridges,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,42.0,burning bridges — drake
31,Dust,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,40.0,dust — drake
32,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-06-19,38.0,billie jean — michael jackson
33,purple,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,36.0,purple — olivia rodrigo
34,cigarette smoke,Olivia Rodrigo,,Pop,0,apple_music,2026-06-19,34.0,cigarette smoke — olivia rodrigo
35,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-06-19,32.0,i'm the problem — morgan wallen
36,RUBBERZ,Fenix Flexin & Purps On The Beat,,Alternative,0,apple_music,2026-06-19,30.0,rubberz — fenix flexin & purps on the beat
37,What Did I Miss?,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-19,28.000000000000004,what did i miss? — drake
38,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-06-19,26.0,freestyle — lil baby
39,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-06-19,24.0,man i need — olivia dean
40,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-06-19,22.0,in a minute — lil baby
41,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-06-19,20.0,wait for u (feat. drake & tems) — future
42,E85,Don Toliver,,Hip-Hop/Rap,0,apple_music,2026-06-19,18.0,e85 — don toliver
43,Chicago,Michael Jackson,,Pop,0,apple_music,2026-06-19,16.0,chicago — michael jackson
44,Last Night,Morgan Wallen,,Country,0,apple_music,2026-06-19,14.000000000000002,last night — morgan wallen
45,Boston,STELLA LEFTY,,Country,0,apple_music,2026-06-19,12.0,boston — stella lefty
46,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-06-19,10.0,just in case — morgan wallen
47,Classic,Drake,,R&B/Soul,0,apple_music,2026-06-19,8.0,classic — drake
48,Spin You Around (1/24),Morgan Wallen,,Country,0,apple_music,2026-06-19,6.0,spin you around (1/24) — morgan wallen
49,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-06-19,4.0,i had some help (feat. morgan wallen) — post malone
50,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-06-19,2.0,like me (feat. 42 dugg & lil baby) — future
1,stupid song,Olivia Rodrigo,,,6610958,spotify_global,2026-06-19,100.0,stupid song — olivia rodrigo
2,hate that i made you love me,Ariana Grande,,,5540780,spotify_global,2026-06-19,98.0,hate that i made you love me — ariana grande
3,the cure,Olivia Rodrigo,,,5243849,spotify_global,2026-06-19,96.0,the cure — olivia rodrigo
4,drop dead,Olivia Rodrigo,,,4759454,spotify_global,2026-06-19,94.0,drop dead — olivia rodrigo
5,Billie Jean,Michael Jackson,,,4601579,spotify_global,2026-06-19,92.0,billie jean — michael jackson
6,SWIM,BTS,,,4548194,spotify_global,2026-06-19,90.0,swim — bts
7,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,4414742,spotify_global,2026-06-19,88.0,beauty and a beat (w/ nicki minaj ) — justin bieber
8,honeybee,Olivia Rodrigo,,,4300713,spotify_global,2026-06-19,86.0,honeybee — olivia rodrigo
9,Babydoll,Dominic Fike,,,4074309,spotify_global,2026-06-19,84.0,babydoll — dominic fike
10,Earrings,Malcolm Todd,,,3956944,spotify_global,2026-06-19,82.0,earrings — malcolm todd
11,Dai Dai (w/ Burna Boy ),Shakira,,,3840767,spotify_global,2026-06-19,80.0,dai dai (w/ burna boy ) — shakira
12,maggots for brains,Olivia Rodrigo,,,3574076,spotify_global,2026-06-19,78.0,maggots for brains — olivia rodrigo
13,Beat It,Michael Jackson,,,3532068,spotify_global,2026-06-19,76.0,beat it — michael jackson
14,my way,Olivia Rodrigo,,,3429157,spotify_global,2026-06-19,74.0,my way — olivia rodrigo
15,expectations,Olivia Rodrigo,,,3385779,spotify_global,2026-06-19,72.0,expectations — olivia rodrigo
16,begged,Olivia Rodrigo,,,3382487,spotify_global,2026-06-19,70.0,begged — olivia rodrigo
17,less,Olivia Rodrigo,,,3361491,spotify_global,2026-06-19,68.0,less — olivia rodrigo
18,whatâs wrong with me (w/ Robert Smith ),Olivia Rodrigo,,,3343188,spotify_global,2026-06-19,66.0,whatâs wrong with me (w/ robert smith ) — olivia rodrigo
