rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-08-21,100.0,choosin' texas — ella langley
2,Been By Now,Morgan Wallen,,Country,0,apple_music,2026-08-21,98.0,been by now — morgan wallen
3,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-21,96.0,janice stfu — drake
4,Dead Fresh,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-21,94.0,dead fresh — lil baby
5,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-08-21,92.0,i can't love you anymore — ella langley & morgan wallen
6,Be Her,Ella Langley,,Country,0,apple_music,2026-08-21,90.0,be her — ella langley
7,BbY WOW,"KAROL G, rusowsky & Judeline",,Music,0,apple_music,2026-08-21,88.0,"bby wow — karol g, rusowsky & judeline"
8,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-08-21,86.0,stupid song — olivia rodrigo
9,Don't We,Morgan Wallen,,Country,0,apple_music,2026-08-21,84.0,don't we — morgan wallen
10,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-08-21,82.0,i'm the problem — morgan wallen
11,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-08-21,80.0,hate that i made you love me — ariana grande
12,Boston,STELLA LEFTY,,Country,0,apple_music,2026-08-21,78.0,boston — stella lefty
13,Jaded,Koe Wetzel & Ella Langley,,Country,0,apple_music,2026-08-21,76.0,jaded — koe wetzel & ella langley
14,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-21,74.0,freestyle — lil baby
15,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-21,72.0,in a minute — lil baby
16,Reap What You Sow,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-21,70.0,reap what you sow — pooh shiesty
17,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-08-21,68.0,the cure — olivia rodrigo
18,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-21,66.0,shabang — drake
19,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-08-21,64.0,man i need — olivia dean
20,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-08-21,62.0,wait for u (feat. drake & tems) — future
21,oh yeah?,Steve Lacy,,Pop,0,apple_music,2026-08-21,60.0,oh yeah? — steve lacy
22,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-08-21,57.99999999999999,just in case — morgan wallen
23,Last Night,Morgan Wallen,,Country,0,apple_music,2026-08-21,56.00000000000001,last night — morgan wallen
24,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-08-21,54.0,like me (feat. 42 dugg & lil baby) — future
25,Loser,Tame Impala,,Alternative,0,apple_music,2026-08-21,52.0,loser — tame impala
26,Best I Ever Had,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-21,50.0,best i ever had — drake
27,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-08-21,48.0,i had some help (feat. morgan wallen) — post malone
28,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-08-21,46.0,what i want — morgan wallen & tate mcrae
29,March Madness,Future,,Hip-Hop/Rap,0,apple_music,2026-08-21,44.0,march madness — future
30,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-08-21,42.0,cinderella (feat. ty dolla $ign) — mac miller
31,Last Man Breathin,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-21,40.0,last man breathin — pooh shiesty
32,Thinkin’ Bout Me,Morgan Wallen,,Country,0,apple_music,2026-08-21,38.0,thinkin’ bout me — morgan wallen
33,Cowgirls (feat. ERNEST),Morgan Wallen,,Country,0,apple_music,2026-08-21,36.0,cowgirls (feat. ernest) — morgan wallen
34,Frozen,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-21,34.0,frozen — lil baby
35,Wants and Needs (feat. Lil Baby),Drake,,Hip-Hop/Rap,0,apple_music,2026-08-21,32.0,wants and needs (feat. lil baby) — drake
36,I'M DAT N***A,Future,,Hip-Hop/Rap,0,apple_music,2026-08-21,30.0,i'm dat n***a — future
37,FDO,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-21,28.000000000000004,fdo — pooh shiesty
38,Wasted On You,Morgan Wallen,,Country,0,apple_music,2026-08-21,26.0,wasted on you — morgan wallen
39,weren't for the wind,Ella Langley,,Country,0,apple_music,2026-08-21,24.0,weren't for the wind — ella langley
40,petal,Ariana Grande,,Pop,0,apple_music,2026-08-21,22.0,petal — ariana grande
41,Sum 2 Prove,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-21,20.0,sum 2 prove — lil baby
42,Stick Talk,Future,,Music,0,apple_music,2026-08-21,18.0,stick talk — future
43,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-08-21,16.0,"ran to atlanta — drake, future & molly santana"
