rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,BbY WOW,"KAROL G, rusowsky & Judeline",,Music,0,apple_music,2026-09-11,100.0,"bby wow — karol g, rusowsky & judeline"
2,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-09-11,98.0,choosin' texas — ella langley
3,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-09-11,96.0,janice stfu — drake
4,Been By Now,Morgan Wallen,,Country,0,apple_music,2026-09-11,94.0,been by now — morgan wallen
5,Dead Fresh,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-09-11,92.0,dead fresh — lil baby
6,Be Her,Ella Langley,,Country,0,apple_music,2026-09-11,90.0,be her — ella langley
7,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-09-11,88.0,i can't love you anymore — ella langley & morgan wallen
8,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-09-11,86.0,stupid song — olivia rodrigo
9,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-09-11,84.0,in a minute — lil baby
10,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-09-11,82.0,freestyle — lil baby
11,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-09-11,80.0,the cure — olivia rodrigo
12,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-09-11,78.0,wait for u (feat. drake & tems) — future
13,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-09-11,76.0,i'm the problem — morgan wallen
14,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-09-11,74.0,like me (feat. 42 dugg & lil baby) — future
15,Dope Girl,Rod Wave,,Music,0,apple_music,2026-09-11,72.0,dope girl — rod wave
16,Don't We,Morgan Wallen,,Country,0,apple_music,2026-09-11,70.0,don't we — morgan wallen
17,Boston,STELLA LEFTY,,Country,0,apple_music,2026-09-11,68.0,boston — stella lefty
18,Best I Ever Had,Drake,,Hip-Hop/Rap,0,apple_music,2026-09-11,66.0,best i ever had — drake
19,WTF GOIN,Belly Gang Kushington & 21 Savage,,Music,0,apple_music,2026-09-11,64.0,wtf goin — belly gang kushington & 21 savage
20,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-09-11,62.0,cinderella (feat. ty dolla $ign) — mac miller
21,March Madness,Future,,Hip-Hop/Rap,0,apple_music,2026-09-11,60.0,march madness — future
22,Frozen,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-09-11,57.99999999999999,frozen — lil baby
23,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-09-11,56.00000000000001,man i need — olivia dean
24,Last Night,Morgan Wallen,,Country,0,apple_music,2026-09-11,54.0,last night — morgan wallen
25,I'M DAT N***A,Future,,Hip-Hop/Rap,0,apple_music,2026-09-11,52.0,i'm dat n***a — future
26,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-09-11,50.0,shabang — drake
27,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-09-11,48.0,just in case — morgan wallen
28,Sum 2 Prove,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-09-11,46.0,sum 2 prove — lil baby
29,Stick Talk,Future,,Music,0,apple_music,2026-09-11,44.0,stick talk — future
30,Wants and Needs (feat. Lil Baby),Drake,,Hip-Hop/Rap,0,apple_music,2026-09-11,42.0,wants and needs (feat. lil baby) — drake
31,Power Trip (feat. Miguel),J. Cole,,Hip-Hop/Rap,0,apple_music,2026-09-11,40.0,power trip (feat. miguel) — j. cole
