rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-05-01,100.0,choosin' texas — ella langley
2,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-05-01,98.0,i can't love you anymore — ella langley & morgan wallen
3,Be Her,Ella Langley,,Country,0,apple_music,2026-05-01,96.0,be her — ella langley
4,Doors,Noah Kahan,,Alternative,0,apple_music,2026-05-01,94.0,doors — noah kahan
5,The Great Divide,Noah Kahan,,Alternative,0,apple_music,2026-05-01,92.0,the great divide — noah kahan
6,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-05-01,90.0,20 cigarettes — morgan wallen
7,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-05-01,88.0,drop dead — olivia rodrigo
8,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-05-01,86.0,billie jean — michael jackson
9,DAISIES,Justin Bieber,,Pop,0,apple_music,2026-05-01,84.0,daisies — justin bieber
10,End of August,Noah Kahan,,Alternative,0,apple_music,2026-05-01,82.0,end of august — noah kahan
11,Porch Light,Noah Kahan,,Alternative,0,apple_music,2026-05-01,80.0,porch light — noah kahan
12,Human Nature,Michael Jackson,,Pop,0,apple_music,2026-05-01,78.0,human nature — michael jackson
13,Bottom Of Your Boots,Ella Langley,,Country,0,apple_music,2026-05-01,76.0,bottom of your boots — ella langley
14,American Cars,Noah Kahan,,Alternative,0,apple_music,2026-05-01,74.0,american cars — noah kahan
15,Willing and Able,Noah Kahan,,Alternative,0,apple_music,2026-05-01,72.0,willing and able — noah kahan
16,Dandelion,Ella Langley,,Country,0,apple_music,2026-05-01,70.0,dandelion — ella langley
17,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-05-01,68.0,i'm the problem — morgan wallen
18,Dashboard,Noah Kahan,,Alternative,0,apple_music,2026-05-01,66.0,dashboard — noah kahan
19,Be By You,Luke Combs,,Country,0,apple_music,2026-05-01,64.0,be by you — luke combs
20,E85,Don Toliver,,Hip-Hop/Rap,0,apple_music,2026-05-01,62.0,e85 — don toliver
21,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-05-01,60.0,man i need — olivia dean
22,Beauty and a Beat (feat. Nicki Minaj),Justin Bieber,,Pop,0,apple_music,2026-05-01,57.99999999999999,beauty and a beat (feat. nicki minaj) — justin bieber
23,YUKON,Justin Bieber,,Pop,0,apple_music,2026-05-01,56.00000000000001,yukon — justin bieber
