rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-08-28,100.0,choosin' texas — ella langley
2,I Am,Rod Wave,,Music,0,apple_music,2026-08-28,98.0,i am — rod wave
3,Piece Of Your Love,Rod Wave,,Music,0,apple_music,2026-08-28,96.0,piece of your love — rod wave
4,Jolene,Dolly Parton,,Country,0,apple_music,2026-08-28,94.0,jolene — dolly parton
5,9 to 5,Dolly Parton,,Country,0,apple_music,2026-08-28,92.0,9 to 5 — dolly parton
6,Hustle,Rod Wave,,Music,0,apple_music,2026-08-28,90.0,hustle — rod wave
7,Look At Me Momma,Rod Wave,,Music,0,apple_music,2026-08-28,88.0,look at me momma — rod wave
8,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-28,86.0,janice stfu — drake
9,Mainstay (feat. Luv Von),Rod Wave,,Music,0,apple_music,2026-08-28,84.0,mainstay (feat. luv von) — rod wave
10,BbY WOW,"KAROL G, Judeline & rusowsky",,Music,0,apple_music,2026-08-28,82.0,"bby wow — karol g, judeline & rusowsky"
11,Summer Joy Intro (feat. Summer Joy),Rod Wave,,Music,0,apple_music,2026-08-28,80.0,summer joy intro (feat. summer joy) — rod wave
12,Been By Now,Morgan Wallen,,Country,0,apple_music,2026-08-28,78.0,been by now — morgan wallen
13,War Wounds,Rod Wave,,Music,0,apple_music,2026-08-28,76.0,war wounds — rod wave
14,Islands In the Stream,Dolly Parton & Kenny Rogers,,Country,0,apple_music,2026-08-28,74.0,islands in the stream — dolly parton & kenny rogers
15,Dead Fresh,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-28,72.0,dead fresh — lil baby
16,I Will Always Love You,Dolly Parton,,Country,0,apple_music,2026-08-28,70.0,i will always love you — dolly parton
17,Venusian (feat. Hazlett),Rod Wave,,Music,0,apple_music,2026-08-28,68.0,venusian (feat. hazlett) — rod wave
18,TP,Rod Wave,,Music,0,apple_music,2026-08-28,66.0,tp — rod wave
19,One More Time,Rod Wave,,Music,0,apple_music,2026-08-28,64.0,one more time — rod wave
20,Be Her,Ella Langley,,Country,0,apple_music,2026-08-28,62.0,be her — ella langley
21,Feed The Streets,Rod Wave,,Music,0,apple_music,2026-08-28,60.0,feed the streets — rod wave
22,Keep Dancing (feat. Hazlett),Rod Wave,,Music,0,apple_music,2026-08-28,57.99999999999999,keep dancing (feat. hazlett) — rod wave
23,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-08-28,56.00000000000001,i can't love you anymore — ella langley & morgan wallen
24,LaCosa Nostra,Rod Wave,,Music,0,apple_music,2026-08-28,54.0,lacosa nostra — rod wave
25,Not New To It,Rod Wave,,Music,0,apple_music,2026-08-28,52.0,not new to it — rod wave
26,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-28,50.0,in a minute — lil baby
27,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-28,48.0,freestyle — lil baby
28,2017 (Streamer U) [feat. Aimee Carty],Rod Wave,,Music,0,apple_music,2026-08-28,46.0,2017 (streamer u) [feat. aimee carty] — rod wave
29,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-08-28,44.0,stupid song — olivia rodrigo
30,Coat of Many Colors,Dolly Parton,,Music,0,apple_music,2026-08-28,42.0,coat of many colors — dolly parton
31,Boston,STELLA LEFTY,,Country,0,apple_music,2026-08-28,40.0,boston — stella lefty
32,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-08-28,38.0,i'm the problem — morgan wallen
33,The Inspo,Rod Wave,,Music,0,apple_music,2026-08-28,36.0,the inspo — rod wave
34,Don't We,Morgan Wallen,,Country,0,apple_music,2026-08-28,34.0,don't we — morgan wallen
35,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-08-28,32.0,wait for u (feat. drake & tems) — future
36,Overrated,Rod Wave,,Music,0,apple_music,2026-08-28,30.0,overrated — rod wave
37,Lost and Insecure,Rod Wave,,Music,0,apple_music,2026-08-28,28.000000000000004,lost and insecure — rod wave
38,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-08-28,26.0,the cure — olivia rodrigo
39,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-08-28,24.0,like me (feat. 42 dugg & lil baby) — future
40,Some of Your Love,PARTYNEXTDOOR,,R&B/Soul,0,apple_music,2026-08-28,22.0,some of your love — partynextdoor
41,Best I Ever Had,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-28,20.0,best i ever had — drake
42,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-08-28,18.0,man i need — olivia dean
43,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-28,16.0,shabang — drake
44,Kiss Me Interlude,Rod Wave,,Music,0,apple_music,2026-08-28,14.000000000000002,kiss me interlude — rod wave
45,Dope Girl,Rod Wave,,Music,0,apple_music,2026-08-28,12.0,dope girl — rod wave
46,Frozen,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-28,10.0,frozen — lil baby
47,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-08-28,8.0,hate that i made you love me — ariana grande
48,Last Night,Morgan Wallen,,Country,0,apple_music,2026-08-28,6.0,last night — morgan wallen
49,March Madness,Future,,Hip-Hop/Rap,0,apple_music,2026-08-28,4.0,march madness — future
50,Wants and Needs (feat. Lil Baby),Drake,,Hip-Hop/Rap,0,apple_music,2026-08-28,2.0,wants and needs (feat. lil baby) — drake
1,Jolene,Dolly Parton,,,4727635,spotify_global,2026-08-28,100.0,jolene — dolly parton
2,9 to 5,Dolly Parton,,,3948267,spotify_global,2026-08-28,98.0,9 to 5 — dolly parton
3,Earrings,Malcolm Todd,,,3602837,spotify_global,2026-08-28,96.0,earrings — malcolm todd
4,Islands in the Stream (w/ Kenny Rogers ),Dolly Parton,,,3451048,spotify_global,2026-08-28,94.0,islands in the stream (w/ kenny rogers ) — dolly parton
5,Loser,Tame Impala,,,3419248,spotify_global,2026-08-28,92.0,loser — tame impala
6,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,3285971,spotify_global,2026-08-28,90.0,beauty and a beat (w/ nicki minaj ) — justin bieber
7,"BbY WOW (w/ Judeline , rusowsky )",KAROL G,,,3247009,spotify_global,2026-08-28,88.0,"bby wow (w/ judeline , rusowsky ) — karol g"
8,Dai Dai (w/ Burna Boy ),Shakira,,,3228190,spotify_global,2026-08-28,86.0,dai dai (w/ burna boy ) — shakira
9,Self Aware,Temper City,,,3187912,spotify_global,2026-08-28,84.0,self aware — temper city
10,The One That Got Away,Katy Perry,,,3054098,spotify_global,2026-08-28,82.0,the one that got away — katy perry
11,Babydoll,Dominic Fike,,,2924977,spotify_global,2026-08-28,80.0,babydoll — dominic fike
12,the cure,Olivia Rodrigo,,,2883962,spotify_global,2026-08-28,78.0,the cure — olivia rodrigo
13,SWIM,BTS,,,2882567,spotify_global,2026-08-28,76.0,swim — bts
14,hate that i made you love me,Ariana Grande,,,2830412,spotify_global,2026-08-28,74.0,hate that i made you love me — ariana grande
15,Iris,The Goo Goo Dolls,,,2821652,spotify_global,2026-08-28,72.0,iris — the goo goo dolls
