rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,100.0,janice stfu — drake
2,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,98.0,shabang — drake
3,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-05-29,96.0,"ran to atlanta — drake, future & molly santana"
4,Whisper My Name,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,94.0,whisper my name — drake
5,National Treasures,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,92.0,national treasures — drake
6,2 Hard 4 The Radio,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,90.0,2 hard 4 the radio — drake
7,Make Them Pay,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,88.0,make them pay — drake
8,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-05-29,86.0,choosin' texas — ella langley
9,Plot Twist,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,84.0,plot twist — drake
10,Burning Bridges,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,82.0,burning bridges — drake
11,B’s On The Table,Drake & 21 Savage,,Hip-Hop/Rap,0,apple_music,2026-05-29,80.0,b’s on the table — drake & 21 savage
12,Dust,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,78.0,dust — drake
13,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-05-29,76.0,i’m spent — drake & loe shimmy
14,What Did I Miss?,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,74.0,what did i miss? — drake
15,Make Them Cry,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,72.0,make them cry — drake
16,Little Birdie,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,70.0,little birdie — drake
17,Don’t Worry,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,68.0,don’t worry — drake
18,Make Them Remember,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,66.0,make them remember — drake
19,Be Her,Ella Langley,,Country,0,apple_music,2026-05-29,64.0,be her — ella langley
20,Classic,Drake,,R&B/Soul,0,apple_music,2026-05-29,62.0,classic — drake
21,WNBA,Drake,,R&B/Soul,0,apple_music,2026-05-29,60.0,wnba — drake
22,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-05-29,57.99999999999999,the cure — olivia rodrigo
23,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-05-29,56.00000000000001,i can't love you anymore — ella langley & morgan wallen
24,Make Them Know,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,54.0,make them know — drake
25,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-05-29,52.0,spend dat — yung miami
26,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-05-29,50.0,billie jean — michael jackson
27,Firm Friends,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,48.0,firm friends — drake
28,Hoe Phase,Drake,,Hip-Hop/Rap,0,apple_music,2026-05-29,46.0,hoe phase — drake
29,Fortworth,Drake & PARTYNEXTDOOR,,R&B/Soul,0,apple_music,2026-05-29,44.0,fortworth — drake & partynextdoor
30,Human Nature,Michael Jackson,,Pop,0,apple_music,2026-05-29,42.0,human nature — michael jackson
31,Chicago,Michael Jackson,,Pop,0,apple_music,2026-05-29,40.0,chicago — michael jackson
32,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-05-29,38.0,20 cigarettes — morgan wallen
33,Slap The City,Drake & Qendresa,,R&B/Soul,0,apple_music,2026-05-29,36.0,slap the city — drake & qendresa
