rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,100.0,janice stfu — drake
2,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-06-26,98.0,choosin' texas — ella langley
3,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,96.0,shabang — drake
4,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,94.0,stupid song — olivia rodrigo
5,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-06-26,92.0,"ran to atlanta — drake, future & molly santana"
6,Be Her,Ella Langley,,Country,0,apple_music,2026-06-26,90.0,be her — ella langley
7,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,88.0,the cure — olivia rodrigo
8,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-06-26,86.0,spend dat — yung miami
9,Whisper My Name,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,84.0,whisper my name — drake
10,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-06-26,82.0,hate that i made you love me — ariana grande
11,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-06-26,80.0,i can't love you anymore — ella langley & morgan wallen
12,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-06-26,78.0,cinderella (feat. ty dolla $ign) — mac miller
13,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,76.0,drop dead — olivia rodrigo
14,National Treasures,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,74.0,national treasures — drake
15,"I Knew It, I Knew You",Taylor Swift,,Country,0,apple_music,2026-06-26,72.0,"i knew it, i knew you — taylor swift"
16,honeybee,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,70.0,honeybee — olivia rodrigo
17,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-06-26,68.0,20 cigarettes — morgan wallen
18,B’s On The Table,Drake & 21 Savage,,Hip-Hop/Rap,0,apple_music,2026-06-26,66.0,b’s on the table — drake & 21 savage
19,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-06-26,64.0,billie jean — michael jackson
20,2 Hard 4 The Radio,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,62.0,2 hard 4 the radio — drake
21,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-06-26,60.0,i'm the problem — morgan wallen
22,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-06-26,57.99999999999999,i’m spent — drake & loe shimmy
23,Plot Twist,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,56.00000000000001,plot twist — drake
24,maggots for brains,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,54.0,maggots for brains — olivia rodrigo
25,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-06-26,52.0,freestyle — lil baby
26,Burning Bridges,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,50.0,burning bridges — drake
27,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-06-26,48.0,in a minute — lil baby
28,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-06-26,46.0,man i need — olivia dean
29,Make Them Pay,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,44.0,make them pay — drake
30,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-06-26,42.0,wait for u (feat. drake & tems) — future
31,Boston,STELLA LEFTY,,Country,0,apple_music,2026-06-26,40.0,boston — stella lefty
32,begged,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,38.0,begged — olivia rodrigo
33,what’s wrong with me,Olivia Rodrigo & Robert Smith,,Pop,0,apple_music,2026-06-26,36.0,what’s wrong with me — olivia rodrigo & robert smith
34,Dust,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,34.0,dust — drake
35,Be By You,Luke Combs,,Country,0,apple_music,2026-06-26,32.0,be by you — luke combs
36,E85,Don Toliver,,Hip-Hop/Rap,0,apple_music,2026-06-26,30.0,e85 — don toliver
37,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-06-26,28.000000000000004,just in case — morgan wallen
38,RUBBERZ,Fenix Flexin & Purps On The Beat,,Alternative,0,apple_music,2026-06-26,26.0,rubberz — fenix flexin & purps on the beat
39,Last Night,Morgan Wallen,,Country,0,apple_music,2026-06-26,24.0,last night — morgan wallen
40,expectations,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,22.0,expectations — olivia rodrigo
41,Spin You Around (1/24),Morgan Wallen,,Country,0,apple_music,2026-06-26,20.0,spin you around (1/24) — morgan wallen
42,less,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,18.0,less — olivia rodrigo
43,Chicago,Michael Jackson,,Pop,0,apple_music,2026-06-26,16.0,chicago — michael jackson
44,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-06-26,14.000000000000002,like me (feat. 42 dugg & lil baby) — future
45,OK,Kanye West & Don Toliver,,Hip-Hop/Rap,0,apple_music,2026-06-26,12.0,ok — kanye west & don toliver
46,What Did I Miss?,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-26,10.0,what did i miss? — drake
47,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-06-26,8.0,i had some help (feat. morgan wallen) — post malone
48,u + me = <3,Olivia Rodrigo,,Pop,0,apple_music,2026-06-26,6.0,u + me = <3 — olivia rodrigo
49,weren't for the wind,Ella Langley,,Country,0,apple_music,2026-06-26,4.0,weren't for the wind — ella langley
50,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-06-26,2.0,what i want — morgan wallen & tate mcrae
1,hate that i made you love me,Ariana Grande,,,4587197,spotify_global,2026-06-26,100.0,hate that i made you love me — ariana grande
2,stupid song,Olivia Rodrigo,,,4489019,spotify_global,2026-06-26,98.0,stupid song — olivia rodrigo
3,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,4325095,spotify_global,2026-06-26,96.0,beauty and a beat (w/ nicki minaj ) — justin bieber
4,Billie Jean,Michael Jackson,,,4323081,spotify_global,2026-06-26,94.0,billie jean — michael jackson
5,SWIM,BTS,,,4036187,spotify_global,2026-06-26,92.0,swim — bts
6,Dai Dai (w/ Burna Boy ),Shakira,,,3981480,spotify_global,2026-06-26,90.0,dai dai (w/ burna boy ) — shakira
7,the cure,Olivia Rodrigo,,,3818970,spotify_global,2026-06-26,88.0,the cure — olivia rodrigo
8,The One That Got Away,Katy Perry,,,3741463,spotify_global,2026-06-26,86.0,the one that got away — katy perry
9,Babydoll,Dominic Fike,,,3715942,spotify_global,2026-06-26,84.0,babydoll — dominic fike
10,drop dead,Olivia Rodrigo,,,3594054,spotify_global,2026-06-26,82.0,drop dead — olivia rodrigo
11,Earrings,Malcolm Todd,,,3459514,spotify_global,2026-06-26,80.0,earrings — malcolm todd
12,honeybee,Olivia Rodrigo,,,3250580,spotify_global,2026-06-26,78.0,honeybee — olivia rodrigo
13,Beat It,Michael Jackson,,,3233066,spotify_global,2026-06-26,76.0,beat it — michael jackson
14,Self Aware,Temper City,,,3085300,spotify_global,2026-06-26,74.0,self aware — temper city
15,back to friends,sombr,,,3071671,spotify_global,2026-06-26,72.0,back to friends — sombr
16,Iris,The Goo Goo Dolls,,,2752016,spotify_global,2026-06-26,70.0,iris — the goo goo dolls
17,End of Beginning,Djo,,,2750992,spotify_global,2026-06-26,68.0,end of beginning — djo
18,Life Goes On,Oliver Tree,,,2741644,spotify_global,2026-06-26,66.0,life goes on — oliver tree
19,DtMF,Bad Bunny,,,2711007,spotify_global,2026-06-26,64.0,dtmf — bad bunny
20,Choosin' Texas,Ella Langley,,,2632374,spotify_global,2026-06-26,62.0,choosin' texas — ella langley
21,Man I Need,Olivia Dean,,,2606606,spotify_global,2026-06-26,60.0,man i need — olivia dean
22,Janice STFU,Drake,,,2570150,spotify_global,2026-06-26,57.99999999999999,janice stfu — drake
23,Chicago,Michael Jackson,,,2535471,spotify_global,2026-06-26,56.00000000000001,chicago — michael jackson
24,"ICONIC BY MISTAKE (w/ ILLIT , KATSEYE )",LE SSERAFIM,,,2508090,spotify_global,2026-06-26,54.0,"iconic by mistake (w/ illit , katseye ) — le sserafim"
25,The Fate of Ophelia,Taylor Swift,,,2482003,spotify_global,2026-06-26,52.0,the fate of ophelia — taylor swift
26,Die With A Smile (w/ Bruno Mars ),Lady Gaga,,,2457842,spotify_global,2026-06-26,50.0,die with a smile (w/ bruno mars ) — lady gaga
27,Love Me Not,Ravyn Lenae,,,2421240,spotify_global,2026-06-26,48.0,love me not — ravyn lenae
28,Raindance (w/ Tems ),Dave,,,2375087,spotify_global,2026-06-26,46.0,raindance (w/ tems ) — dave
29,Locked out of Heaven,Bruno Mars,,,2370863,spotify_global,2026-06-26,44.0,locked out of heaven — bruno mars
30,Lush Life,Zara Larsson,,,2360002,spotify_global,2026-06-26,42.0,lush life — zara larsson
