rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-08-14,100.0,choosin' texas — ella langley
2,Been By Now,Morgan Wallen,,Country,0,apple_music,2026-08-14,98.0,been by now — morgan wallen
3,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-14,96.0,janice stfu — drake
4,Last Man Breathin,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-14,94.0,last man breathin — pooh shiesty
5,Dead Fresh,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-14,92.0,dead fresh — lil baby
6,Reap What You Sow,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-14,90.0,reap what you sow — pooh shiesty
7,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-08-14,88.0,i can't love you anymore — ella langley & morgan wallen
8,Be Her,Ella Langley,,Country,0,apple_music,2026-08-14,86.0,be her — ella langley
9,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-08-14,84.0,hate that i made you love me — ariana grande
10,oh yeah?,Steve Lacy,,Pop,0,apple_music,2026-08-14,82.0,oh yeah? — steve lacy
11,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-08-14,80.0,stupid song — olivia rodrigo
12,Jaded,Koe Wetzel & Ella Langley,,Country,0,apple_music,2026-08-14,78.0,jaded — koe wetzel & ella langley
13,Don't We,Morgan Wallen,,Country,0,apple_music,2026-08-14,76.0,don't we — morgan wallen
14,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-08-14,74.0,i'm the problem — morgan wallen
15,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-14,72.0,shabang — drake
16,petal,Ariana Grande,,Pop,0,apple_music,2026-08-14,70.0,petal — ariana grande
17,Loser,Tame Impala,,Alternative,0,apple_music,2026-08-14,68.0,loser — tame impala
18,Federal Reality,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-14,66.0,federal reality — pooh shiesty
19,I'm Back,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-14,64.0,i'm back — pooh shiesty
20,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-14,62.0,freestyle — lil baby
21,Boston,STELLA LEFTY,,Country,0,apple_music,2026-08-14,60.0,boston — stella lefty
22,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-08-14,57.99999999999999,the cure — olivia rodrigo
23,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-14,56.00000000000001,in a minute — lil baby
24,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-08-14,54.0,wait for u (feat. drake & tems) — future
25,FDO,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-14,52.0,fdo — pooh shiesty
26,Still on Timing (feat. BIG30),Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-14,50.0,still on timing (feat. big30) — pooh shiesty
27,Ahí,KAROL G & Drake,,Music,0,apple_music,2026-08-14,48.0,ahí — karol g & drake
28,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-08-14,46.0,man i need — olivia dean
29,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-08-14,44.0,just in case — morgan wallen
30,AH HA,Cardi B,,Hip-Hop/Rap,0,apple_music,2026-08-14,42.0,ah ha — cardi b
31,Last Night,Morgan Wallen,,Country,0,apple_music,2026-08-14,40.0,last night — morgan wallen
32,BbY WOW,"KAROL G, Judeline & rusowsky",,Music,0,apple_music,2026-08-14,38.0,"bby wow — karol g, judeline & rusowsky"
33,LIKE ME (feat. 42 Dugg & Lil Baby),Future,,Hip-Hop/Rap,0,apple_music,2026-08-14,36.0,like me (feat. 42 dugg & lil baby) — future
34,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-08-14,34.0,"ran to atlanta — drake, future & molly santana"
35,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-08-14,32.0,cinderella (feat. ty dolla $ign) — mac miller
36,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-08-14,30.0,i had some help (feat. morgan wallen) — post malone
37,Best I Ever Had,Drake,,Hip-Hop/Rap,0,apple_music,2026-08-14,28.000000000000004,best i ever had — drake
38,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-08-14,26.0,what i want — morgan wallen & tate mcrae
39,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-08-14,24.0,spend dat — yung miami
40,Collecting Tears,Pooh Shiesty,,Hip-Hop/Rap,0,apple_music,2026-08-14,22.0,collecting tears — pooh shiesty
41,Cowgirls (feat. ERNEST),Morgan Wallen,,Country,0,apple_music,2026-08-14,20.0,cowgirls (feat. ernest) — morgan wallen
42,March Madness,Future,,Hip-Hop/Rap,0,apple_music,2026-08-14,18.0,march madness — future
43,Thinkin’ Bout Me,Morgan Wallen,,Country,0,apple_music,2026-08-14,16.0,thinkin’ bout me — morgan wallen
44,weren't for the wind,Ella Langley,,Country,0,apple_music,2026-08-14,14.000000000000002,weren't for the wind — ella langley
45,Wasted On You,Morgan Wallen,,Country,0,apple_music,2026-08-14,12.0,wasted on you — morgan wallen
46,I'M DAT N***A,Future,,Hip-Hop/Rap,0,apple_music,2026-08-14,10.0,i'm dat n***a — future
47,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-08-14,8.0,i’m spent — drake & loe shimmy
48,Wants and Needs (feat. Lil Baby),Drake,,Hip-Hop/Rap,0,apple_music,2026-08-14,6.0,wants and needs (feat. lil baby) — drake
49,Frozen,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-08-14,4.0,frozen — lil baby
50,Stick Talk,Future,,Music,0,apple_music,2026-08-14,2.0,stick talk — future
1,Dai Dai (w/ Burna Boy ),Shakira,,,3893861,spotify_global,2026-08-14,100.0,dai dai (w/ burna boy ) — shakira
2,Loser,Tame Impala,,,3731578,spotify_global,2026-08-14,98.0,loser — tame impala
3,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,3535072,spotify_global,2026-08-14,96.0,beauty and a beat (w/ nicki minaj ) — justin bieber
4,hate that i made you love me,Ariana Grande,,,3452799,spotify_global,2026-08-14,94.0,hate that i made you love me — ariana grande
5,Earrings,Malcolm Todd,,,3426000,spotify_global,2026-08-14,92.0,earrings — malcolm todd
6,SWIM,BTS,,,3166394,spotify_global,2026-08-14,90.0,swim — bts
7,Babydoll,Dominic Fike,,,3160518,spotify_global,2026-08-14,88.0,babydoll — dominic fike
8,Self Aware,Temper City,,,3145187,spotify_global,2026-08-14,86.0,self aware — temper city
9,petal,Ariana Grande,,,3142593,spotify_global,2026-08-14,84.0,petal — ariana grande
10,The One That Got Away,Katy Perry,,,3140430,spotify_global,2026-08-14,82.0,the one that got away — katy perry
11,the cure,Olivia Rodrigo,,,2869004,spotify_global,2026-08-14,80.0,the cure — olivia rodrigo
12,Billie Jean,Michael Jackson,,,2840658,spotify_global,2026-08-14,78.0,billie jean — michael jackson
13,back to friends,sombr,,,2738907,spotify_global,2026-08-14,76.0,back to friends — sombr
14,stupid song,Olivia Rodrigo,,,2733608,spotify_global,2026-08-14,74.0,stupid song — olivia rodrigo
15,oh yeah?,Steve Lacy,,,2656127,spotify_global,2026-08-14,72.0,oh yeah? — steve lacy
16,Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee ),Post Malone,,,2623801,spotify_global,2026-08-14,70.0,sunflower - spider-man: into the spider-verse (w/ swae lee ) — post malone
17,Animal,KATSEYE,,,2620812,spotify_global,2026-08-14,68.0,animal — katseye
18,Iris,The Goo Goo Dolls,,,2562467,spotify_global,2026-08-14,66.0,iris — the goo goo dolls
19,Die With A Smile (w/ Bruno Mars ),Lady Gaga,,,2560303,spotify_global,2026-08-14,64.0,die with a smile (w/ bruno mars ) — lady gaga
20,Choosin' Texas,Ella Langley,,,2499171,spotify_global,2026-08-14,62.0,choosin' texas — ella langley
21,Wonderwall - Remastered,Oasis,,,2494061,spotify_global,2026-08-14,60.0,wonderwall - remastered — oasis
22,Love Me Not,Ravyn Lenae,,,2460475,spotify_global,2026-08-14,57.99999999999999,love me not — ravyn lenae
23,Man I Need,Olivia Dean,,,2443793,spotify_global,2026-08-14,56.00000000000001,man i need — olivia dean
24,End of Beginning,Djo,,,2355599,spotify_global,2026-08-14,54.0,end of beginning — djo
25,drop dead,Olivia Rodrigo,,,2353847,spotify_global,2026-08-14,52.0,drop dead — olivia rodrigo
26,Treat You Better,Shawn Mendes,,,2296961,spotify_global,2026-08-14,50.0,treat you better — shawn mendes
