rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Been By Now,Morgan Wallen,,Country,0,apple_music,2026-07-31,100.0,been by now — morgan wallen
2,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-07-31,98.0,choosin' texas — ella langley
3,Dead Fresh,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-31,96.0,dead fresh — lil baby
4,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-31,94.0,janice stfu — drake
5,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-07-31,92.0,i can't love you anymore — ella langley & morgan wallen
6,Be Her,Ella Langley,,Country,0,apple_music,2026-07-31,90.0,be her — ella langley
7,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-31,88.0,shabang — drake
8,Don't We,Morgan Wallen,,Country,0,apple_music,2026-07-31,86.0,don't we — morgan wallen
9,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-07-31,84.0,stupid song — olivia rodrigo
10,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-07-31,82.0,i'm the problem — morgan wallen
11,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-07-31,80.0,spend dat — yung miami
12,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-07-31,78.0,hate that i made you love me — ariana grande
13,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-07-31,76.0,"ran to atlanta — drake, future & molly santana"
14,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-31,74.0,freestyle — lil baby
15,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-07-31,72.0,the cure — olivia rodrigo
16,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-07-31,70.0,just in case — morgan wallen
17,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-31,68.0,in a minute — lil baby
18,Last Night,Morgan Wallen,,Country,0,apple_music,2026-07-31,66.0,last night — morgan wallen
