rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-10,100.0,janice stfu — drake
2,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-07-10,98.0,choosin' texas — ella langley
3,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-10,96.0,shabang — drake
4,MORNING DEW (DONK),Beyoncé,,Pop,0,apple_music,2026-07-10,94.0,morning dew (donk) — beyoncé
5,Be Her,Ella Langley,,Country,0,apple_music,2026-07-10,92.0,be her — ella langley
6,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-07-10,90.0,spend dat — yung miami
7,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-07-10,88.0,i can't love you anymore — ella langley & morgan wallen
8,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-07-10,86.0,stupid song — olivia rodrigo
9,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-07-10,84.0,"ran to atlanta — drake, future & molly santana"
10,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-07-10,82.0,20 cigarettes — morgan wallen
11,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-07-10,80.0,cinderella (feat. ty dolla $ign) — mac miller
12,Whisper My Name,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-10,78.0,whisper my name — drake
13,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-07-10,76.0,hate that i made you love me — ariana grande
14,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-07-10,74.0,the cure — olivia rodrigo
15,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-07-10,72.0,i'm the problem — morgan wallen
16,RUBBERZ,Fenix Flexin & Purps On The Beat,,Alternative,0,apple_music,2026-07-10,70.0,rubberz — fenix flexin & purps on the beat
17,National Treasures,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-10,68.0,national treasures — drake
18,"I Knew It, I Knew You (From ""Toy Story 5"")",Taylor Swift,,Country,0,apple_music,2026-07-10,66.0,"i knew it, i knew you (from ""toy story 5"") — taylor swift"
19,Boston,STELLA LEFTY,,Country,0,apple_music,2026-07-10,64.0,boston — stella lefty
20,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-10,62.0,freestyle — lil baby
21,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-07-10,60.0,wait for u (feat. drake & tems) — future
22,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-07-10,57.99999999999999,in a minute — lil baby
23,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-07-10,56.00000000000001,drop dead — olivia rodrigo
24,Be By You,Luke Combs,,Country,0,apple_music,2026-07-10,54.0,be by you — luke combs
25,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-07-10,52.0,i’m spent — drake & loe shimmy
26,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-07-10,50.0,i had some help (feat. morgan wallen) — post malone
27,Ghetto Love Story,BabyChiefDoit,,Hip-Hop/Rap,0,apple_music,2026-07-10,48.0,ghetto love story — babychiefdoit
28,Spin You Around (1/24),Morgan Wallen,,Country,0,apple_music,2026-07-10,46.0,spin you around (1/24) — morgan wallen
29,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-07-10,44.0,man i need — olivia dean
