rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-05-08,100.0,choosin' texas — ella langley
2,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-05-08,98.0,i can't love you anymore — ella langley & morgan wallen
3,Be Her,Ella Langley,,Country,0,apple_music,2026-05-08,96.0,be her — ella langley
4,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-05-08,94.0,billie jean — michael jackson
5,Human Nature,Michael Jackson,,Pop,0,apple_music,2026-05-08,92.0,human nature — michael jackson
6,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-05-08,90.0,20 cigarettes — morgan wallen
7,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-05-08,88.0,drop dead — olivia rodrigo
8,Dirty Diana,Michael Jackson,,Pop,0,apple_music,2026-05-08,86.0,dirty diana — michael jackson
9,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-05-08,84.0,i'm the problem — morgan wallen
10,Doors,Noah Kahan,,Alternative,0,apple_music,2026-05-08,82.0,doors — noah kahan
11,Don't Stop 'Til You Get Enough,Michael Jackson,,Pop,0,apple_music,2026-05-08,80.0,don't stop 'til you get enough — michael jackson
12,E85,Don Toliver,,Hip-Hop/Rap,0,apple_music,2026-05-08,78.0,e85 — don toliver
13,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-05-08,76.0,man i need — olivia dean
14,Bottom Of Your Boots,Ella Langley,,Country,0,apple_music,2026-05-08,74.0,bottom of your boots — ella langley
15,The Great Divide,Noah Kahan,,Alternative,0,apple_music,2026-05-08,72.0,the great divide — noah kahan
16,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-05-08,70.0,what i want — morgan wallen & tate mcrae
17,Be By You,Luke Combs,,Country,0,apple_music,2026-05-08,68.0,be by you — luke combs
18,Dandelion,Ella Langley,,Country,0,apple_music,2026-05-08,66.0,dandelion — ella langley
19,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-05-08,64.0,freestyle — lil baby
20,Beat It,Michael Jackson,,Pop,0,apple_music,2026-05-08,62.0,beat it — michael jackson
21,DAISIES,Justin Bieber,,Pop,0,apple_music,2026-05-08,60.0,daisies — justin bieber
22,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-05-08,57.99999999999999,in a minute — lil baby
23,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-05-08,56.00000000000001,just in case — morgan wallen
24,Beauty and a Beat (feat. Nicki Minaj),Justin Bieber,,Pop,0,apple_music,2026-05-08,54.0,beauty and a beat (feat. nicki minaj) — justin bieber
25,Freakin’ Out,Dexter and The Moonrocks,,Rock,0,apple_music,2026-05-08,52.0,freakin’ out — dexter and the moonrocks
26,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-05-08,50.0,wait for u (feat. drake & tems) — future
27,Porch Light,Noah Kahan,,Alternative,0,apple_music,2026-05-08,48.0,porch light — noah kahan
