rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-07-17,100.0,choosin' texas — ella langley
2,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-17,98.0,janice stfu — drake
3,California Girls,Future,,Hip-Hop/Rap,0,apple_music,2026-07-17,96.0,california girls — future
4,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-07-17,94.0,shabang — drake
5,Konnichiwa,Future,,Hip-Hop/Rap,0,apple_music,2026-07-17,92.0,konnichiwa — future
6,Be Her,Ella Langley,,Country,0,apple_music,2026-07-17,90.0,be her — ella langley
7,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-07-17,88.0,i can't love you anymore — ella langley & morgan wallen
8,stupid song,Olivia Rodrigo,,Pop,0,apple_music,2026-07-17,86.0,stupid song — olivia rodrigo
9,MORNING DEW (DONK),Beyoncé,,Pop,0,apple_music,2026-07-17,84.0,morning dew (donk) — beyoncé
10,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-07-17,82.0,spend dat — yung miami
11,Snow in Skyami,Future,,Hip-Hop/Rap,0,apple_music,2026-07-17,80.0,snow in skyami — future
12,F**k A Interview,Future,,Hip-Hop/Rap,0,apple_music,2026-07-17,78.0,f**k a interview — future
13,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-07-17,76.0,"ran to atlanta — drake, future & molly santana"
14,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-07-17,74.0,hate that i made you love me — ariana grande
15,Wonderwall (Remastered),Oasis,,Music,0,apple_music,2026-07-17,72.0,wonderwall (remastered) — oasis
16,One Two,Future,,Hip-Hop/Rap,0,apple_music,2026-07-17,70.0,one two — future
17,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-07-17,68.0,20 cigarettes — morgan wallen
18,Radio,Future,,Hip-Hop/Rap,0,apple_music,2026-07-17,66.0,radio — future
19,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-07-17,64.0,the cure — olivia rodrigo
