rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,100.0,janice stfu — drake
2,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,98.0,shabang — drake
3,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-06-12,96.0,choosin' texas — ella langley
4,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-06-12,94.0,"ran to atlanta — drake, future & molly santana"
5,Whisper My Name,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,92.0,whisper my name — drake
6,"I Knew It, I Knew You",Taylor Swift,,Country,0,apple_music,2026-06-12,90.0,"i knew it, i knew you — taylor swift"
7,National Treasures,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,88.0,national treasures — drake
8,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-06-12,86.0,hate that i made you love me — ariana grande
9,Be Her,Ella Langley,,Country,0,apple_music,2026-06-12,84.0,be her — ella langley
10,2 Hard 4 The Radio,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,82.0,2 hard 4 the radio — drake
11,Plot Twist,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,80.0,plot twist — drake
12,B’s On The Table,Drake & 21 Savage,,Hip-Hop/Rap,0,apple_music,2026-06-12,78.0,b’s on the table — drake & 21 savage
13,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-06-12,76.0,spend dat — yung miami
14,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-06-12,74.0,i can't love you anymore — ella langley & morgan wallen
15,Make Them Pay,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,72.0,make them pay — drake
16,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-06-12,70.0,i’m spent — drake & loe shimmy
17,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-06-12,68.0,cinderella (feat. ty dolla $ign) — mac miller
18,Dust,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,66.0,dust — drake
19,Burning Bridges,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,64.0,burning bridges — drake
20,What Did I Miss?,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,62.0,what did i miss? — drake
21,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-06-12,60.0,20 cigarettes — morgan wallen
22,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-06-12,57.99999999999999,billie jean — michael jackson
23,Make Them Cry,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,56.00000000000001,make them cry — drake
24,Don’t Worry,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,54.0,don’t worry — drake
25,Classic,Drake,,R&B/Soul,0,apple_music,2026-06-12,52.0,classic — drake
26,RUBBERZ,Fenix Flexin & Purps On The Beat,,Alternative,0,apple_music,2026-06-12,50.0,rubberz — fenix flexin & purps on the beat
27,Little Birdie,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-12,48.0,little birdie — drake
28,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-06-12,46.0,i'm the problem — morgan wallen
29,WNBA,Drake,,R&B/Soul,0,apple_music,2026-06-12,44.0,wnba — drake
30,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-06-12,42.0,the cure — olivia rodrigo
31,Chicago,Michael Jackson,,Pop,0,apple_music,2026-06-12,40.0,chicago — michael jackson
32,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-06-12,38.0,man i need — olivia dean
