rank,title,artist,album,genre,streams,source,fetched_at,score,key
1,Janice STFU,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,100.0,janice stfu — drake
2,Shabang,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,98.0,shabang — drake
3,Ran To Atlanta,"Drake, Future & Molly Santana",,Hip-Hop/Rap,0,apple_music,2026-06-05,96.0,"ran to atlanta — drake, future & molly santana"
4,Whisper My Name,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,94.0,whisper my name — drake
5,Choosin' Texas,Ella Langley,,Country,0,apple_music,2026-06-05,92.0,choosin' texas — ella langley
6,National Treasures,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,90.0,national treasures — drake
7,2 Hard 4 The Radio,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,88.0,2 hard 4 the radio — drake
8,Plot Twist,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,86.0,plot twist — drake
9,hate that i made you love me,Ariana Grande,,Pop,0,apple_music,2026-06-05,84.0,hate that i made you love me — ariana grande
10,Make Them Pay,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,82.0,make them pay — drake
11,Be Her,Ella Langley,,Country,0,apple_music,2026-06-05,80.0,be her — ella langley
12,B’s On The Table,Drake & 21 Savage,,Hip-Hop/Rap,0,apple_music,2026-06-05,78.0,b’s on the table — drake & 21 savage
13,Burning Bridges,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,76.0,burning bridges — drake
14,Dust,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,74.0,dust — drake
15,I’m Spent,Drake & Loe Shimmy,,R&B/Soul,0,apple_music,2026-06-05,72.0,i’m spent — drake & loe shimmy
16,Spend Dat,Yung Miami,,Hip-Hop/Rap,0,apple_music,2026-06-05,70.0,spend dat — yung miami
17,I Can't Love You Anymore,Ella Langley & Morgan Wallen,,Country,0,apple_music,2026-06-05,68.0,i can't love you anymore — ella langley & morgan wallen
18,What Did I Miss?,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,66.0,what did i miss? — drake
19,Make Them Cry,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,64.0,make them cry — drake
20,Don’t Worry,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,62.0,don’t worry — drake
21,Little Birdie,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,60.0,little birdie — drake
22,20 Cigarettes,Morgan Wallen,,Country,0,apple_music,2026-06-05,57.99999999999999,20 cigarettes — morgan wallen
23,WNBA,Drake,,R&B/Soul,0,apple_music,2026-06-05,56.00000000000001,wnba — drake
24,Billie Jean,Michael Jackson,,Pop,0,apple_music,2026-06-05,54.0,billie jean — michael jackson
25,Classic,Drake,,R&B/Soul,0,apple_music,2026-06-05,52.0,classic — drake
26,Make Them Remember,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,50.0,make them remember — drake
27,Cinderella (feat. Ty Dolla $ign),Mac Miller,,Music,0,apple_music,2026-06-05,48.0,cinderella (feat. ty dolla $ign) — mac miller
28,I'm The Problem,Morgan Wallen,,Country,0,apple_music,2026-06-05,46.0,i'm the problem — morgan wallen
29,Chicago,Michael Jackson,,Pop,0,apple_music,2026-06-05,44.0,chicago — michael jackson
30,Make Them Know,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,42.0,make them know — drake
31,Man I Need,Olivia Dean,,Pop,0,apple_music,2026-06-05,40.0,man i need — olivia dean
32,the cure,Olivia Rodrigo,,Pop,0,apple_music,2026-06-05,38.0,the cure — olivia rodrigo
33,E85,Don Toliver,,Hip-Hop/Rap,0,apple_music,2026-06-05,36.0,e85 — don toliver
34,Human Nature,Michael Jackson,,Pop,0,apple_music,2026-06-05,34.0,human nature — michael jackson
35,Boston,STELLA LEFTY,,Country,0,apple_music,2026-06-05,32.0,boston — stella lefty
36,Freestyle,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-06-05,30.0,freestyle — lil baby
37,Just In Case,Morgan Wallen,,Country,0,apple_music,2026-06-05,28.000000000000004,just in case — morgan wallen
38,In A Minute,Lil Baby,,Hip-Hop/Rap,0,apple_music,2026-06-05,26.0,in a minute — lil baby
39,Firm Friends,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,24.0,firm friends — drake
40,Fortworth,Drake & PARTYNEXTDOOR,,R&B/Soul,0,apple_music,2026-06-05,22.0,fortworth — drake & partynextdoor
41,Last Night,Morgan Wallen,,Country,0,apple_music,2026-06-05,20.0,last night — morgan wallen
42,Hostage,Latto & 21 Savage,,Music,0,apple_music,2026-06-05,18.0,hostage — latto & 21 savage
43,What I Want,Morgan Wallen & Tate McRae,,Country,0,apple_music,2026-06-05,16.0,what i want — morgan wallen & tate mcrae
44,WAIT FOR U (feat. Drake & Tems),Future,,Hip-Hop/Rap,0,apple_music,2026-06-05,14.000000000000002,wait for u (feat. drake & tems) — future
45,Spin You Around (1/24),Morgan Wallen,,Country,0,apple_music,2026-06-05,12.0,spin you around (1/24) — morgan wallen
46,drop dead,Olivia Rodrigo,,Pop,0,apple_music,2026-06-05,10.0,drop dead — olivia rodrigo
47,Slap The City,Drake & Qendresa,,R&B/Soul,0,apple_music,2026-06-05,8.0,slap the city — drake & qendresa
48,I Had Some Help (feat. Morgan Wallen),Post Malone,,Country,0,apple_music,2026-06-05,6.0,i had some help (feat. morgan wallen) — post malone
49,Hoe Phase,Drake,,Hip-Hop/Rap,0,apple_music,2026-06-05,4.0,hoe phase — drake
50,Be By You,Luke Combs,,Country,0,apple_music,2026-06-05,2.0,be by you — luke combs
1,hate that i made you love me,Ariana Grande,,,6300568,spotify_global,2026-06-05,100.0,hate that i made you love me — ariana grande
2,Billie Jean,Michael Jackson,,,5222024,spotify_global,2026-06-05,98.0,billie jean — michael jackson
3,Beauty And A Beat (w/ Nicki Minaj ),Justin Bieber,,,5086711,spotify_global,2026-06-05,96.0,beauty and a beat (w/ nicki minaj ) — justin bieber
4,SWIM,BTS,,,5001389,spotify_global,2026-06-05,94.0,swim — bts
5,Babydoll,Dominic Fike,,,4580084,spotify_global,2026-06-05,92.0,babydoll — dominic fike
6,the cure,Olivia Rodrigo,,,4222069,spotify_global,2026-06-05,90.0,the cure — olivia rodrigo
7,Beat It,Michael Jackson,,,4017255,spotify_global,2026-06-05,88.0,beat it — michael jackson
8,Janice STFU,Drake,,,3984625,spotify_global,2026-06-05,86.0,janice stfu — drake
9,Earrings,Malcolm Todd,,,3735868,spotify_global,2026-06-05,84.0,earrings — malcolm todd
10,back to friends,sombr,,,3324807,spotify_global,2026-06-05,82.0,back to friends — sombr
11,The One That Got Away,Katy Perry,,,3272428,spotify_global,2026-06-05,80.0,the one that got away — katy perry
12,Self Aware,Temper City,,,3216079,spotify_global,2026-06-05,78.0,self aware — temper city
13,End of Beginning,Djo,,,3177168,spotify_global,2026-06-05,76.0,end of beginning — djo
14,Choosin' Texas,Ella Langley,,,3138021,spotify_global,2026-06-05,74.0,choosin' texas — ella langley
15,Chicago,Michael Jackson,,,3099538,spotify_global,2026-06-05,72.0,chicago — michael jackson
16,Love Me Not,Ravyn Lenae,,,3062221,spotify_global,2026-06-05,70.0,love me not — ravyn lenae
17,drop dead,Olivia Rodrigo,,,3039421,spotify_global,2026-06-05,68.0,drop dead — olivia rodrigo
18,DtMF,Bad Bunny,,,2909711,spotify_global,2026-06-05,66.0,dtmf — bad bunny
19,Dracula - JENNIE Remix (w/ JENNIE ),Tame Impala,,,2844652,spotify_global,2026-06-05,64.0,dracula - jennie remix (w/ jennie ) — tame impala
20,Man I Need,Olivia Dean,,,2838558,spotify_global,2026-06-05,62.0,man i need — olivia dean
21,Iris,The Goo Goo Dolls,,,2829458,spotify_global,2026-06-05,60.0,iris — the goo goo dolls
22,Risk It All,Bruno Mars,,,2811114,spotify_global,2026-06-05,57.99999999999999,risk it all — bruno mars
23,On The Floor (w/ Pitbull ),Jennifer Lopez,,,2764165,spotify_global,2026-06-05,56.00000000000001,on the floor (w/ pitbull ) — jennifer lopez
24,Raindance (w/ Tems ),Dave,,,2756567,spotify_global,2026-06-05,54.0,raindance (w/ tems ) — dave
25,Human Nature,Michael Jackson,,,2751184,spotify_global,2026-06-05,52.0,human nature — michael jackson
26,Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,,,2711643,spotify_global,2026-06-05,50.0,don't stop 'til you get enough - single version — michael jackson
27,The Fate of Ophelia,Taylor Swift,,,2703391,spotify_global,2026-06-05,48.0,the fate of ophelia — taylor swift
28,Die With A Smile (w/ Bruno Mars ),Lady Gaga,,,2615127,spotify_global,2026-06-05,46.0,die with a smile (w/ bruno mars ) — lady gaga
29,Stateside + Zara Larsson (w/ Zara Larsson ),PinkPantheress,,,2545224,spotify_global,2026-06-05,44.0,stateside + zara larsson (w/ zara larsson ) — pinkpantheress
30,So Easy (To Fall In Love),Olivia Dean,,,2537235,spotify_global,2026-06-05,42.0,so easy (to fall in love) — olivia dean
31,BAILE INoLVIDABLE,Bad Bunny,,,2502423,spotify_global,2026-06-05,40.0,baile inolvidable — bad bunny
32,Lush Life,Zara Larsson,,,2499043,spotify_global,2026-06-05,38.0,lush life — zara larsson
33,WHERE IS MY HUSBAND!,RAYE,,,2370724,spotify_global,2026-06-05,36.0,where is my husband! — raye
34,Sweater Weather,The Neighbourhood,,,2332549,spotify_global,2026-06-05,34.0,sweater weather — the neighbourhood
35,White Keys,Dominic Fike,,,2296086,spotify_global,2026-06-05,32.0,white keys — dominic fike
36,Mr. Brightside,The Killers,,,2286857,spotify_global,2026-06-05,30.0,mr. brightside — the killers
37,DAISIES,Justin Bieber,,,2260422,spotify_global,2026-06-05,28.000000000000004,daisies — justin bieber
38,Ordinary,Alex Warren,,,2245519,spotify_global,2026-06-05,26.0,ordinary — alex warren
39,Sailor Song,Gigi Perez,,,2244022,spotify_global,2026-06-05,24.0,sailor song — gigi perez
40,BIRDS OF A FEATHER,Billie Eilish,,,2237371,spotify_global,2026-06-05,22.0,birds of a feather — billie eilish
